script,arch,variant,mode,window_s,seed,fold,test_subjects,exercise_pw_f1,exercise_pw_balacc,exercise_ps_f1,exercise_ps_balacc,phase_f1,phase_balacc,fatigue_mae,fatigue_r,reps_mae,val_total,n_test_windows,n_test_sets,best_hps_json
sweep_raw,tcn_raw,raw,phase,1.0,42,aggregate,,,,,,0.29634641518962157,0.34772095950557363,,,,0.14134278807903264,,,"{""lr"": 0.0034841373014948248, ""weight_decay"": 1.1448918633452132e-06, ""batch_size"": 256, ""repr_dim"": 64, ""dropout"": 0.4276338510556246}"
sweep_raw,tcn_raw,raw,phase,1.0,7,aggregate,,,,,,0.32997780646675856,0.3544658591083888,,,,0.14174117415767054,,,"{""lr"": 0.0034841373014948248, ""weight_decay"": 1.1448918633452132e-06, ""batch_size"": 256, ""repr_dim"": 64, ""dropout"": 0.4276338510556246}"
sweep_raw,tcn_raw,raw,phase,1.0,1337,aggregate,,,,,,0.2813403139868538,0.3378544240198438,,,,0.1445775230855833,,,"{""lr"": 0.0034841373014948248, ""weight_decay"": 1.1448918633452132e-06, ""batch_size"": 256, ""repr_dim"": 64, ""dropout"": 0.4276338510556246}"
sweep_raw,tcn_raw,raw,phase,5.0,42,aggregate,,,,,,0.21201162157810635,0.3338195015425266,,,,-0.053814268112182616,,,"{""lr"": 0.00493641030332193, ""weight_decay"": 2.0122510229412164e-06, ""batch_size"": 256, ""repr_dim"": 64, ""dropout"": 0.4544883026859418}"
sweep_raw,tcn_raw,raw,phase,5.0,7,aggregate,,,,,,0.21240882982623527,0.3357020365748466,,,,-0.047944575548172,,,"{""lr"": 0.00493641030332193, ""weight_decay"": 2.0122510229412164e-06, ""batch_size"": 256, ""repr_dim"": 64, ""dropout"": 0.4544883026859418}"
sweep_raw,tcn_raw,raw,phase,5.0,1337,aggregate,,,,,,0.21894197895649406,0.33651417724531374,,,,-0.05471792817115784,,,"{""lr"": 0.00493641030332193, ""weight_decay"": 2.0122510229412164e-06, ""batch_size"": 256, ""repr_dim"": 64, ""dropout"": 0.4544883026859418}"
sweep_raw,tcn_raw,raw,fatigue,2.0,42,aggregate,,,,,,,,0.9064620286163894,0.3725018914799635,,0.4578923635134101,,,"{""lr"": 0.004933811602543086, ""weight_decay"": 0.00991530002704101, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.46811238171964836}"
sweep_raw,tcn_raw,raw,fatigue,2.0,7,aggregate,,,,,,,,0.9093188580479662,0.4049837059513924,,0.46017975629994573,,,"{""lr"": 0.004933811602543086, ""weight_decay"": 0.00991530002704101, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.46811238171964836}"
sweep_raw,tcn_raw,raw,fatigue,2.0,1337,aggregate,,,,,,,,0.933926490906115,0.35575642228373583,,0.4740087455935603,,,"{""lr"": 0.004933811602543086, ""weight_decay"": 0.00991530002704101, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.46811238171964836}"
sweep_raw,tcn_raw,raw,fatigue,1.0,42,aggregate,,,,,,,,0.901212233203168,0.40864349947822076,,0.4582654472639634,,,"{""lr"": 0.0034841373014948248, ""weight_decay"": 0.0005852290798386132, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.49264028824743095}"
sweep_raw,tcn_raw,raw,fatigue,1.0,7,aggregate,,,,,,,,0.9109971080871799,0.3289271112317564,,0.4651166667951051,,,"{""lr"": 0.0034841373014948248, ""weight_decay"": 0.0005852290798386132, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.49264028824743095}"
sweep_raw,tcn_raw,raw,fatigue,1.0,1337,aggregate,,,,,,,,0.9230134818377393,0.3636900788030683,,0.47234788963738444,,,"{""lr"": 0.0034841373014948248, ""weight_decay"": 0.0005852290798386132, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.49264028824743095}"
sweep_raw,tcn_raw,raw,fatigue,5.0,42,aggregate,,,,,,,,0.9286694534734737,0.3713337351787144,,0.46887541170786917,,,"{""lr"": 0.0044139552670985705, ""weight_decay"": 0.0017561410951618143, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.2550376816255844}"
sweep_raw,tcn_raw,raw,fatigue,5.0,7,aggregate,,,,,,,,0.9652089107740516,0.31189156964082054,,0.5016353188451274,,,"{""lr"": 0.0044139552670985705, ""weight_decay"": 0.0017561410951618143, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.2550376816255844}"
sweep_raw,tcn_raw,raw,fatigue,5.0,1337,aggregate,,,,,,,,0.9529095676238521,0.3291644491894454,,0.4869039042827425,,,"{""lr"": 0.0044139552670985705, ""weight_decay"": 0.0017561410951618143, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.2550376816255844}"
