pipeline,category,slug,arch,variant,window_s,tasks,modality_dropped,cv_scheme,n_folds,n_seeds,exercise_f1_mean,exercise_f1_std,phase_f1_mean,phase_f1_std,fatigue_mae_mean,fatigue_mae_std,fatigue_pearson_mean,fatigue_pearson_std,reps_mae_mean,reps_mae_std,val_total_mean,val_total_std
v17_features,single-task,v17single-phase-mlp-w1s,mlp,features,1,phase,none,LOSO 10-fold,10,3,,,0.3120263113656406,0.04846852224828531,,,,,,,-0.2775503539864416,0.1576791156234176
v17_features,single-task,v17single-reps-lstm-w2s,lstm,features,2,reps,none,LOSO 10-fold,10,3,,,,,,,,,0.15065596545377186,0.04922577459272015,-1.4535125224019605,0.19132932648236164
v20_raw,multi-task,v20_mt-w1s-cnn1d_raw,cnn1d_raw,raw,1.0,all 4,none,LOSO 10-fold,10,3,0.18458988127373066,0.0785400354256011,0.27320122933518676,0.05500914191050295,1.134559985884394,0.3385781599913065,0.2249991338267028,0.27731308225693213,0.10898020727899912,0.019964433951608258,-0.3597795075282656,0.32895963778687903
v20_raw,multi-task,v20_mt-w1s-cnn_lstm_raw,cnn_lstm_raw,raw,1.0,all 4,none,LOSO 10-fold,10,3,0.3490783384613764,0.1457181148469741,0.3285866875837375,0.035186172453179655,1.1543788690720744,0.2827514870443226,0.18361125659895344,0.3424205105230995,0.11423164884097252,0.021974724391227253,-0.1738945086615496,0.3339133608068652
v20_raw,multi-task,v20_mt-w1s-lstm_raw,lstm_raw,raw,1.0,all 4,none,LOSO 10-fold,10,3,0.28672312838505115,0.11578551600049629,0.29989273864010424,0.0398092430794809,1.0051017075986615,0.18272090082949546,0.2513555142527311,0.31047395968643715,0.10804523783389965,0.019254506036514463,-0.3725290744051389,0.28076698084668883
v20_raw,multi-task,v20_mt-w1s-tcn_raw,tcn_raw,raw,1.0,all 4,none,LOSO 10-fold,10,3,0.2304145430720273,0.10049648893510353,0.32382234205322147,0.04868399980072546,1.0984319071295816,0.2825954447193414,0.23041714278048472,0.34546141412819675,0.11063047893649348,0.02000128221117418,-0.3709710544896499,0.3236375943350326
v20_raw,multi-task,v20_mt-w2s-cnn1d_raw,cnn1d_raw,raw,2.0,all 4,none,LOSO 10-fold,10,3,0.17441302502197645,0.1032031982720644,0.24201698901986518,0.051819500174897504,1.3752223886651362,0.3793958649470107,0.2266975324346306,0.33304437759491173,0.21141548705261035,0.0420460318346546,0.23778003184003058,0.3188131110654323
v20_raw,multi-task,v20_mt-w2s-cnn_lstm_raw,cnn_lstm_raw,raw,2.0,all 4,none,LOSO 10-fold,10,3,0.45934958880800825,0.16371820647444107,0.32069362596664563,0.040595303367158664,1.113707887342883,0.2656551189842368,0.2561803917684075,0.32259178182881193,0.2144577051405989,0.03643154853910988,0.3892006436464023,0.41282214658648286
v20_raw,multi-task,v20_mt-w2s-lstm_raw,lstm_raw,raw,2.0,all 4,none,LOSO 10-fold,10,3,0.16987728414529152,0.09113898518528125,0.21138160625228872,0.01995672569524969,1.1490112275879611,0.206518767213166,0.22519078037551704,0.32167229581989176,0.21300156423377592,0.039906591580806956,0.1737265034628705,0.31982789953713164
v20_raw,multi-task,v20_mt-w2s-tcn_raw,tcn_raw,raw,2.0,all 4,none,LOSO 10-fold,10,3,0.24167541067260523,0.09822736903493273,0.29312051146452756,0.054043307217881295,1.169533747498881,0.2985148396567989,0.23045127655671946,0.325396664020183,0.21282678039723021,0.03600760424281227,0.1819900542471847,0.32464742682892933
v20_raw,multi-task,v20_mt-w5s-cnn1d_raw,cnn1d_raw,raw,5.0,all 4,none,LOSO 10-fold,10,3,0.5235951279337796,0.209864259024081,0.30507866385327204,0.06775910924033168,1.2682039273780128,0.31604614943258347,0.08093624750908998,0.35119574664957764,0.4773339639889405,0.06705643499222771,0.8766524394353231,0.3672215407779862
v20_raw,multi-task,v20_mt-w5s-cnn_lstm_raw,cnn_lstm_raw,raw,5.0,all 4,none,LOSO 10-fold,10,3,0.47311561992581325,0.2028756509360641,0.3138772013266965,0.05938782484634765,1.055505885033744,0.25287503941678047,0.19287199593916943,0.32453678681890025,0.46938067386197785,0.07583223887220654,0.7952908287445705,0.25310093603128503
v20_raw,multi-task,v20_mt-w5s-lstm_raw,lstm_raw,raw,5.0,all 4,none,LOSO 10-fold,10,3,0.2584393043582181,0.11739354805377708,0.20452086928388324,0.032701231032491236,0.980941705188841,0.18263919146607363,0.21519379425287427,0.370710736237627,0.5152976126867528,0.11193691057203188,0.8199769576390584,0.14003064406878676
