slug,seed,fold,test_subjects,val_total,exercise_f1,exercise_balanced_acc,exercise_n,phase_f1,phase_balanced_acc,phase_n,fatigue_mae,fatigue_pearson,fatigue_n,reps_mae,reps_n
v17abl-drop_ppg-lstm-w1s,1337,1,,0.20055000433555017,0.1130952380952381,0.25,650,0.21379980563654033,0.3333333333333333,466,1.837325721153846,0.17076369615996623,650,0.30575478344487594,460
v17abl-drop_ppg-lstm-w1s,1337,2,,0.6673695655545779,0.13317191283292978,0.25,606,0.20893719806763286,0.3333333333333333,379,1.6099809199669968,0.05701684514008789,606,0.19419407757403623,373
v17abl-drop_ppg-lstm-w1s,1337,3,,-0.39886867810809423,0.11507128309572301,0.25,756,0.2254249815225425,0.3333333333333333,597,1.139813781415344,-0.031491558422174916,756,0.17299930892519136,591
v17abl-drop_ppg-lstm-w1s,1337,4,,-0.18804235530622077,0.1326530612244898,0.25,792,0.20307692307692307,0.3333333333333333,452,0.9557686237373737,-0.2635121616022791,792,0.1779756460663319,442
v17abl-drop_ppg-lstm-w1s,1337,5,,-0.5736907393031206,0.12427346797951112,0.25625,717,0.21430993557138012,0.32916666666666666,667,0.9722530944909344,0.22762093371172773,717,0.1548608307327543,665
v17abl-drop_ppg-lstm-w1s,1337,6,,-0.30369579909818445,0.14366197183098592,0.25,506,0.2162962962962963,0.3333333333333333,456,0.7180088932806324,-0.45638567185412754,506,0.229377734333806,454
v17abl-drop_ppg-lstm-w1s,1337,7,,-0.15541509574960188,0.15011682242990654,0.3333333333333333,599,0.22040072859744989,0.3333333333333333,490,1.1258738522537564,-0.13737500674659003,599,0.1934966210413862,486
v17abl-drop_ppg-lstm-w1s,1337,8,,-0.4666727214772379,0.12158054711246201,0.25,747,0.24147313449324603,0.4665028341823922,747,0.7826514390896921,-0.0877782924615275,747,0.21407261724088844,747
v17abl-drop_ppg-lstm-w1s,1337,9,,0.06309503987671095,0.10978670012547051,0.25,1244,0.23561946902654865,0.3333333333333333,1169,0.897131229903537,0.2468082273717367,1244,0.24775616367993558,1167
v17abl-drop_ppg-lstm-w1s,42,0,,-0.291962626733278,0.10774193548387097,0.25,608,0.19698725376593282,0.5,608,0.8529887952302632,0.31394781605678856,608,0.25320373030492765,608
v17abl-drop_ppg-lstm-w1s,42,1,,0.026289117152874287,0.1130952380952381,0.25,650,0.21379980563654033,0.3333333333333333,466,1.3854567307692307,0.18086369360509466,650,0.2958056284873949,460
v17abl-drop_ppg-lstm-w1s,42,2,,0.4836104112883212,0.21727508651802946,0.20337003422109806,606,0.30101488429509554,0.3411560693641618,379,1.337781043729373,0.07660486681802652,606,0.17987724132686053,373
v17abl-drop_ppg-lstm-w1s,42,3,,-0.40660760768506893,0.11507128309572301,0.25,756,0.2254249815225425,0.3333333333333333,597,1.1362743882275133,-0.016789816158787396,756,0.16747787733469316,591
v17abl-drop_ppg-lstm-w1s,42,4,,-0.10613505406813188,0.1326530612244898,0.25,792,0.20307692307692307,0.3333333333333333,452,1.0299479166666667,0.10549401134344039,792,0.1780161143836831,442
v17abl-drop_ppg-lstm-w1s,42,5,,-0.5888976537865409,0.11159263271939328,0.25,717,0.227281438891346,0.3200030193236715,667,0.9510438458856346,0.44557413638935944,717,0.16010896619549372,665
v17abl-drop_ppg-lstm-w1s,42,6,,-0.20387888190303396,0.14366197183098592,0.25,506,0.2162962962962963,0.3333333333333333,456,0.8236783596837944,-0.10402668233360066,506,0.23379572119311498,454
v17abl-drop_ppg-lstm-w1s,42,7,,-0.1605322157998316,0.15011682242990654,0.3333333333333333,599,0.22161671207992736,0.3333333333333333,490,1.0863613835559265,-0.17174740291768564,599,0.19653728355964026,486
v17abl-drop_ppg-lstm-w1s,42,8,,-0.4220993979229346,0.12158054711246201,0.25,747,0.21761346558461078,0.5,747,0.8033697289156626,-0.016571864601160613,747,0.2132331934586726,747
v17abl-drop_ppg-lstm-w1s,42,9,,0.04776455658425089,0.10978670012547051,0.25,1244,0.2074248674130819,0.3333333333333333,1169,0.9177049839228296,0.17031735264569403,1244,0.22711253829386993,1167
v17abl-drop_ppg-lstm-w1s,7,0,,-0.3374324221360056,0.10774193548387097,0.25,608,0.19698725376593282,0.5,608,0.8801847759046053,0.3360227409388439,608,0.23492417019856235,608
v17abl-drop_ppg-lstm-w1s,7,1,,0.09822017577978281,0.1130952380952381,0.25,650,0.21379980563654033,0.3333333333333333,466,1.7511598557692307,0.10268821485178761,650,0.2898739051104159,460
v17abl-drop_ppg-lstm-w1s,7,2,,0.519793439619612,0.1667825275426181,0.21995982740663594,606,0.20893719806763286,0.3333333333333333,379,1.3210408931518152,0.28828886531033165,606,0.185981057531852,373
